,song_id_from_src,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q,lyrics,language,general_genre,tempo,energy,loudness,danceability,acousticness,instrumentalness,key,liveness,mode,speechiness,duration_ms,valence
2319,ML809,MoodyLyrics4Q,Call Your Name,Daughtry,,,,,,sad,negative,"[Verse 1] You never said, you never said, you never said that it would be this hard Love is meant to be forever, now or never seems to discard There's gotta be a better way for me to say What's on my heart without leaving scars So can you hear me when I call your name? [Chorus 1] And when you fall apart, am I the reason for your endless sorrow? There's so much to be said And with a broken heart, your walls can only go down but so low Can you hear me when I call your name? When I call your name [Verse 2] Complicated situations are the makings of all that's wrong And I've been standing in the river of deliverance way too long There's gotta be a better way for me to say What's on my heart without leaving scars So can you hear me when I call your name? So can you hear me when I call your name? [Chorus 1] And when you fall apart, am I the reason for your endless sorrow? There's so much to be said And with a broken heart, your walls can only go down but so low Can you hear me when I call your name? [Chorus 2] You never said, you never said, you never said, you never said When I call your name You never said, you never said, you never said, you never said When I call your name [Chorus 1] And when you fall apart, am I the reason for your endless sorrow? There's so much to be said And with a broken heart, your walls can only go down but so low Can you hear me when I call your name? And when you fall apart, am I the reason for your endless sorrow? There's so much to be said And with a broken heart, your walls can only go down but so low Can you hear me when I call your name? When I call your name",en,,141.717,0.572,-5.117,0.442,0.221,0,11,0.107,1,0.0287,242987,0.412
3393,ML1883,MoodyLyrics4Q,Something I Can Never Have,Nine Inch Nails,Industrial Metal,,,,,sad,negative,"[Verse 1] I still recall the taste of your tears Echoing your voice just like the ringing in my ears My favorite dreams of you still wash ashore Scraping through my head 'til I don't want to sleep anymore [Chorus] You make this all go away You make this all go away I'm down to just one thing And I'm starting to scare myself You make this all go away You make this all go away I just want something I just want something I can never have [Verse 2] You always were the one to show me how Back then I couldn't do the things that I can do now This thing is slowly taking me apart Grey would be the color if I had a heart Come on, tell me! [Chorus] You make this all go away You make this all go away I'm down to just one thing And I'm starting to scare myself You make this all go away You make this all go away I just want something I just want something I can never have [Verse 3] In this place it seems like such a shame Though it all looks different now, I know it's still the same Everywhere I look you're all I see Just a fading fucking reminder of who I used to be Come on, tell me! [Chorus] You make this all go away You make this all go away I'm down to just one thing And I'm starting to scare myself You make this all go away You make it all go away I just want something I just want something I can never have I just want something I can never have",en,Metal,108.033,0.131,-16.792,0.501,0.797,2.73E-05,5,0.111,1,0.03,354827,0.0394
2082,ML572,MoodyLyrics4Q,Oops!...I Did It Again,Britney Spears,Pop,,,,,happy,positive,"[Intro] Yeah, yeah Yeah, yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah, yeah [Verse 1] I think I did it again I made you believe we're more than just friends, oh, baby It might seem like a crush But it doesn't mean that I'm serious [Pre-Chorus] 'Cause to lose all my senses That is just so typically me, ooh, baby, baby [Chorus] Oops!... I did it again I played with your heart Got lost in the game Oh, baby, baby Oops, you think I'm in love That I'm sent from above I'm not that innocent [Verse 2] You see, my problem is this, I'm dreaming away Wishing that heroes, they truly exist I cry watching the days Can't you see I'm a fool in so many ways? [Pre-Chorus] But to lose all my senses That is just so typically me, oh, baby, oh [Chorus] Oops!... I did it again I played with your heart Got lost in the game Oh, baby, baby Oops, you think I'm in love That I'm sent from above I'm not that innocent [Post-Chorus] Yeah, yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah, yeah [Interlude] ""All aboard!"" ""Britney, before you go, there's something I want you to have"" ""Oh, it's beautiful! But wait a minute, isn't this?"" ""Yeah, yes, it is."" ""But I thought the old lady dropped it into the ocean in the end"" ""Well, baby, I went down and got it for ya"" ""Aw, you shouldn't have"" [Bridge] Oops!... I did it again to your heart Got lost in this game, oh, baby Oops, you (oops, you) think that I'm sent from above I'm not that innocent [Chorus] Oops!... I did it again I played with your heart Got lost in the game Oh, baby, baby Oops, you think I'm in love That I'm sent from above I'm not that innocent Oops!... I did it again I played with your heart Got lost in the game Oh, baby, baby Oops, you think I'm in love That I'm sent from above I'm not that innocent",en,Pop,95.053,0.834,-5.444,0.751,0.3,1.77E-05,1,0.355,0,0.0437,211160,0.894
2002,ML492,MoodyLyrics4Q,Hey Dude,Beatallica,Metal,,,,,happy,positive,"Hey, dude-it'z true not sad Take a thrash song and make it better Remembah! That metal iz in your heart Then you can start to be a fretter Hey, dude-don't be fuckin' 'fraid You were made to go be a shredder The minute you let us under your skin Then you'll begin to be a fretter So crank your amp and deal the pain Hey, dude-you're fuckin' insane! The riverz run red with blood of poseurs And don't you know that he'z the fool Who playz it cool But needz for hiz beer to be much colder Hey, dude-nevah turn it down! You must pound her, I mean Kip Winger New wave of British heavy metal iz in your heart And you can start with Diamond Headerz So let it out! Let it in! Hey, dude, begin Don't wait for the Eye of the Beholder You'll never know when bellz toll for you Hey, dude, you'll do Just sling that flying-V 'cross your shoulder Hey, dude-it'z true not sad Take a thrash song and make it better Admit it! Metallica'z under your skin! So now begin to be a shredder",en,Metal,148.564,0.754,-4.562,0.316,0.00983,2.71E-05,2,0.42,1,0.0411,445053,0.409
1754,ML244,MoodyLyrics4Q,Lovely 2 C U,Goldfrapp,Electronic,,,,,happy,positive,"[Intro] Lo-lovely to see you Lo-lovely to see you [Verse 1] A wonderful place to be The birds are singing The dreams that are sent to me Everyone's waving But there's no noises The smell of your skin The glittering lights of hell I'm missing sin [Chorus 1] Lo-lovely to see you Lo-lovely to see you [Verse 2] I wanna get out of here Inhale your sky A beautiful place to be So I don't know why They're selling us something I don't need They're selling us something, babe You shouldn't believe [Chorus 2] Lo-lovely to see you Lo-lovely to see you Lo-lovely to see you Lo-lovely to see you [Chorus 3] Lo-lovely to see you Lo-lovely to see you Lo-lovely to see you Lo-lovely to see you Lo-lovely to see you Lo-lovely to see you",en,Electronic,129.096,0.723,-6.453,0.636,0.00354,1.27E-05,0,0.184,1,0.0454,205240,0.648
385,499,PMEmo2019,Bon Appétit,Katy Perry,Pop,0.8625,0.06731456009,0.825,0.1,happy,positive,"[Intro: Quavo] Ayy, yeah Katy Perry, Migos Ayy! [Chorus: Katy Perry] 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby (Woo) [Verse 1: Katy Perry] Looks like you've been starving You've got those hungry eyes (Woo) You could use some sugar 'Cause your levels ain't right (Woo) I'm a five-star Michelin A Kobe flown in (Woo) You want what I'm cooking, boy [Pre-Chorus: Katy Perry] Let me take you (Woo) Under candlelight We can wine and dine A table for two And it's okay (Woo) If you take your time Eat with your hands, fine I'm on the menu [Chorus: Katy Perry] 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby (Woo) [Verse 2: Katy Perry & Quavo ] So you want some more Well I'm open 24 (Woo) Wanna keep you satisfied Customer's always right (Woo) Hope you've got some room For the world's best cherry pie (Woo) Gonna hit that sweet tooth, ( Ayy ) boy [Pre-Chorus: Katy Perry, Quavo , & Both ] Let me take you (Woo) Under candlelight We can wine and dine A table for two And it's okay (Woo) If you take your time ( Ayy ) Eat with your hands, fine ( Yeah ) I'm on the menu Go ahead [Chorus: Katy Perry & Quavo ] 'Cause I'm all that you want, boy ( All that you want ) All that you can have, boy ( Ayy ) Got me spread like a buffet Bon a, bon appétit, baby ( Bon appétit ) Appetite for seduction Fresh out the oven ( Fresh out the oven ) Melt in your mouth kind of lovin' Bon appétit, baby 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby ( Bon appétit ) Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby Quavo [Verse 3: Quavo] Sweet potato pie It'll change your mind (Change) Got you running back for seconds (Running) Every single night [Verse 4: Takeoff] I'm the one they say can change your life (Takeoff) No waterfall, she drippin' wet, you like my ice? (Blast) She say she want a Migo night Now I ask her, ""What's the price?"" (Hold on) If she do right, told her get whatever you like [Verse 5: Offset] Offset I grab her legs and now divide, aight Make her do a donut when she ride, aight Looking at the eyes of a dime, make you blind In her spine and my diamonds change the climate [Verse 6: Quavo & Katy Perry ] Sweet tooth, no tooth fairy Whipped cream, no dairy Got her hot light on, screaming, ""I'm ready"" But no horses, no carriage [Chorus: Katy Perry & Quavo ] 'Cause I'm all that you want, boy ( All that you want ) All that you can have, boy (Oh) Got me spread like a buffet Bon a, bon appétit, baby ( Eat it up, eat it up, eat it up ) Appetite for seduction ( Yeah, yeah, yeah ) Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby Bon appétit [Outro: Quavo & Katy Perry ] Under candlelight (Yeah, woo) Bon appétit, baby",en,Pop,106.031,0.795,-5.835,0.8,0.131,9.02E-05,6,0.221,1,0.0626,227813,0.528
2445,ML935,MoodyLyrics4Q,Chapter I,Estatic Fear,,,,,,sad,negative,"The feeble leafs decline Enshrined in downing deep The mourn abandoned plains Laid down in sombre sleep Misty shades engulf the sky Like past, worn memories The bird's song fills the whispering breeze With autumns melody The lunar pale grim shape At evening's sight renews It's silented wail relieves Repressed thoughts anew I hear the lonesome choir Of fortunes past my way Disdained in fiery weeps Throughout my every day These skies I hail and treasure thee Most pleasant misery Not pittes thorn I shelter thine Mysterious harmony Draw on most pleasant night Shade my lorn exposed sight For my grief's when shadows told Shall be eased in mist enfold Why should the foolish's hope Thy unborn passioned cry Exhaust unheard Beneath this pleasent sky? For if the dusking day declined Could delight be far behind?",en,,100.023,0.541,-9.216,0.452,0.0294,0.036,7,0.479,0,0.0286,303907,0.272
1579,ML69,MoodyLyrics4Q,Bali Ha'i,Stacey Kent,Jazz,,,,,relaxed,positive,"Bali Ha'i may call you Any night and any day In your heart you'll hear it call you ""Come away, come away"" Bali Ha'i will whisper On the wind of the sea ""Here am I your special island"" ""Come to me, come to me"" Your own special hopes Your own special dreams Bloom on the hillside And shine in the streams If you try you'll find me Where the sky meets the sea Here am I your special island Come to me, come to me Your own special hopes Your own special dreams Bloom on the hillside And shine in the streams If you try you'll find me Where the sky meets the sea Here am I your special island Come to me, come to me Bali Hai, Bali Hai, Bali Hai",en,Jazz,174.987,0.0952,-21.065,0.34,0.962,0.0949,6,0.151,0,0.0365,180333,0.168
3048,ML1538,MoodyLyrics4Q,Falling,Mindy Smith,,,,,,relaxed,positive,It seems like Out of nowhere I'm coming apart Nothing could've saved me You went straight for my heart When I've almost had enough Something about you draws me back again When I've almost given up Something about you pulls me in And we're falling Feels like I am reaching Tryin' to hold on to you And I know that There's still hope here And I know you'll come through When I've almost had enough Something about you draws me back again When I've almost given up Something about you pulls me in And we're falling When I've almost had enough When I've almost given up We start falling And we're falling,en,,121.861,0.359,-12.255,0.625,0.683,9.62E-05,11,0.127,1,0.0319,215773,0.0798
2753,ML1243,MoodyLyrics4Q,Without a Face,Rage Against the Machine,Rap Metal,,,,,angry,negative,"[Intro] Uh [Verse 1] Got no card, so I got not soul Life is prison, no parole, no control The jura got my number on a wire tap 'Cause I jack for Similac, fuck a Cadillac Survive , one motive, no hope 'Cause every sidewalk I walk is like a tightrope Yes, I know my deadline, sire, when my life expires I'm sendin' paper south under the barbed wire The mother of my child will lose her mind at my grave It's my life for their life, so call it a free trade ""Por vida"" and our name up on the stall I took a death trip when I tried to cross the white wall [Chorus] Walk unseen past the graves and the gates Born without a face One motive, no hope, uh Born without a face Walk unseen past the graves and the gates Born without a face One motive, no hope, uh Yeah, born without a face Without a face [Verse 2] Yeah, I tried to look back to my past long lost A blood donor to the land owner holocaust Pop's heart stopped, in came the air drop Flooded the trench, he couldn't shake the toxic shock Maize  was all we needed to sustain Now her golden skin burns, insecticide rain Ya down wit' DDT, yeah, you know me I'm raped for the grapes , profit for the bourgeoisie War tape boomin' , path is Luminoso I'm headed north like my name was Kid Cisco To survive, one motive, no hope, uh It's hard to breathe with Wilson's hand around my throat, uh Strangled and mangled, another SS curtain call When I tried to cross the white walls When I tried to cross the white walls [Chorus] Walk unseen past the graves and the gates Born without a face One motive, no hope, uh Born without a face Walk unseen past the graves an the gates Born without a face One motive, no hope, uh Born without a face [Outro] You say fortify Reaction, you divide You say fortify Reaction, re-action You say fortify Reaction, re-action You say fortify Reaction, you divide",en,Metal,92.257,0.808,-8.376,0.425,0.00534,0.179,9,0.175,0,0.221,216907,0.369
2384,ML874,MoodyLyrics4Q,Miracles,Jefferson Starship,Rock,,,,,relaxed,positive,"If only you believe like I believe, baby (If only you believe like I believe) We'd get by If only you believe in miracles, baby (If only you believe in miracles) So would I If only you believe like I believe, baby (If only you believe like I believe) We'd get by If only you believe in miracles, baby (If only you believe in miracles) So would I I might have to move heaven and earth To prove it to you, baby (Baby) So we're making love And you feel the power And I feel the power Then there's really nothing we can't do (You know we could, you know we could) If we wanted to, baby (You know we could, you know we could) We could exist on the stars It'd be so easy Now, baby All we gotta do (Baby, baby, baby, oh, baby) Is get a little faith in you (Baby, baby) Oh, I've been so many places I've seen some things (Yes, I have) I know love is the answer (Yes, it is) Keeps holding this world together, yeah Ain't nothing better Ain't nothing better (Nothing's better) And all the answers to our prayers Hell, it's the same everywheres, baby (Just the same now) Nothing ever breaks up the heart (Love's a game now) Only tears give you away (Ain't it a shame now?) Then you're right where I found ya (Oh, baby) With my arms around ya (Oh, baby) O-o-o-o-o-o-oh, baby Baby, baby Love is a magic word, ooh, yeah (Baby) Few ever find in a lifetime But from that very first look in your eyes I knew you and I had but one heart (Baby) Only our bodies were apart (It's making me crazy) That was so easy (Baby) So easy (Oh, baby) I had a taste of the real world (Didn't waste a drop of it) When I went down on you, girl Oh, if only you believe like I believe, baby (If only you believe like I believe) We'd get by If only you believe in miracles, baby (If only you believe in miracles) So would I If only you believe like I believe, baby (If only you believe like I believe) We'd get by If only you believe in miracles, baby (If only you believe in miracles) So would I I can hear windmills and rainbows Whenever you're talkin' to me (Never say never) I feel like swirling and dancin' Whenever you're walking with me (Whenever you're walking with me) You ripple like a river when I touch you (Let me touch you) When I pluck your body like a string (Show you what I mean) When I start dancin' inside ya (Oh, baby) You make me wanna sing (I love you so) Yeah (I love you so) Baby (I love you so) Baby (I love you so) Baby (I love you so) Baby (Oh) Oh, yeah (Oh, yeah) All right (All right) Baby, we're sure doin' it tonight (Baby, we're sure doin' it) Every time you come by, let me try (Come on by) Pretty please with sugar on it That's how I like it, ooh I can't even believe it with you It's like having every dream I ever wanted come true (Dream of a lifetime) I picked up your vibes You know, it opened my eyes (Dream of a lifetime) But I'm still dreamin', yeah (Hey, hey, hey, hey, hey, oh) And you're right where I found ya (Oh, baby) With my arms around ya (Oh, baby) Oh, if only you believe like I believe, baby (If only you believe like I believe) We'd get by If only you believe in miracles, baby (If only you believe in miracles) So would I If only you believe like I believe, baby (If only you believe like I believe) We'd get by If only you believe in miracles, baby (If only you believe in miracles) So would I So would I So would I Oh, if only you believe like I believe, baby (If only you believe like I believe) We'd get by If only you believe in miracles, baby (If only you believe in miracles) So would I If only you believe like I believe, baby (If only you believe like I believe) We'd get by If only you believe in miracles, baby (If only you believe in miracles) So would I",en,Rock,113.226,0.335,-15.914,0.617,0.366,0,9,0.115,0,0.0301,412040,0.655
1906,ML396,MoodyLyrics4Q,Mickey,Toni Basil,,,,,,happy,positive,"Oh Mickey You're so fine You're so fine you blow my mind Hey Mickey! Hey Mickey! Oh Mickey You're so fine You're so fine you blow my mind Hey Mickey! Hey Mickey! Oh Mickey You're so fine You're so fine you blow my mind Hey Mickey! Hey Mickey! Oh Mickey You're so fine You're so fine you blow my mind Hey Mickey! Hey, Mickey! You've been around all night And that's a little long You think you've got the right But I think you’ve got it wrong Why can’t you say goodnight So you can take me home Mickey? 'Cause when you say you will It always means you won't You're giving me the chills Baby, please Baby, don't Every night you still leave me all alone Mickey Oh Mickey, what a pity You don't understand? You take me by the heart When you take me by the hand Oh Mickey, you're so pretty Can't you understand?? It's guys like you Mickey! Oh what you do Mickey, do Mickey Don't break my heart Mickey! Hey Mickey! Now when you take me by the hooves Everyone gonna know Every time you move I let a little more show It's something we can use So don't say no Mickey So come on and give it to me anyway you can Anyway you wanna do it I'll take it like a man So please, baby please Don't leave me in the dam, Mickey Oh Mickey, what a pity You don't understand? You take me by the heart When you take me by the hand Oh Mickey, you're so pretty Can't you understand?? It's guys like you Mickey! Oh what you do Mickey, do Mickey Don't break my heart Mickey! Oh Mickey You're so fine You're so fine you blow my mind Hey Mickey! Hey Mickey! Oh Mickey You're so fine You're so fine you blow my mind Hey Mickey! Hey Mickey! Oh Mickey You're so fine You're so fine you blow my mind Hey Mickey! Hey Mickey! Oh Mickey You're so fine You're so fine you blow my mind Hey Mickey! Oh Mickey, what a pity You don't understand? You take me by the heart When you take me by the hand Oh Mickey, you're so pretty Can't you understand?? It's guys like you Mickey! Oh what you do Mickey, do Mickey Don't break my heart Mickey! Oh Mickey, what a pity You don't understand? You take me by the heart When you take me by the hand Oh Mickey, you're so pretty Can't you understand?? It's guys like you Mickey! Oh what you do Mickey, do Mickey Don't break my heart Mickey! Oh Mickey, what a pity You don't understand? You take me by the heart When you take me by the hand Oh Mickey, you're so pretty Can't you understand?? It's guys like you Mickeeeey! Oh what you do Mickey, do Mickey Don't break my heart Mickey! Oh Mickey, what a pity You don't understand? You take me by the heart When you take me by the hand Oh Mickey, you're so pretty Can't you understand? It's guys like you Mickey! Oh what you do Mickey, do Mickey Don't break my heart Mickey!",en,,149.975,0.928,-4.457,0.595,0.0569,0,4,0.0336,1,0.0503,252885,0.982
2073,ML563,MoodyLyrics4Q,Irresponsible Hate Anthem,Marilyn Manson,Alternative Metal,,,,,angry,negative,"[Intro] When you are suffering, know that I have betrayed you And all the children sing We hate love, we love hate ""We hate love, we love hate!"" ""We hate love, we love hate!"" [Verse 1] I am so all-American, I'd sell you suicide I am totalitarian, I've got abortions in my eyes I hate the hater, I'd rape the raper I am the animal who will not be himself [Refrain] Fuck it! Fuck it! Fuck it! Fuck it! [Verse 2] Hey victim, should I black your eyes again? Hey victim, you were the one who put the stick in my hand I am the ism, my hate's a prism Let's just kill everyone and let your God sort them out [Refrain] Fuck it! Fuck it! Fuck it! Fuck it! [Chorus] Everybody's someone else's nigg​er I know you are, so am I I wasn't born with enough middle fingers I don't need to choose a side [Verse 3] I better, better, better, better not say this Better, better, better, better not tell Better, better, better, better not say this Better, better, better, better not tell I hate the hater, I'd rape the raper I am the idiot who will not be himself [Refrain] Fuck it! Fuck it! Fuck it! Fuck it! [Chorus] Everybody's someone else's nigg​er I know you are, so am I I wasn't born with enough middle fingers I don't need to choose a side [Bridge] America can not see anything America can not see anything America can not see anything History was written by the winner [Refrain] Fuck it! Fuck it! Fuck it! Fuck! Fuck! Fuck! [Chorus] Everybody's someone else's nigg​er I know you are, so am I I wasn't born with enough middle fingers I don't need to choose a side",en,Metal,188.256,0.961,-8.787,0.356,0.000143,0.302,11,0.806,1,0.127,257933,0.267
3479,ML1969,MoodyLyrics4Q,Lose Yourself,Eminem,Hip-Hop,,,,,angry,negative,"[Intro] Look, if you had one shot or one opportunity To seize everything you ever wanted in one moment Would you capture it, or just let it slip? Yo [Verse 1] His palms are sweaty, knees weak, arms are heavy There's vomit on his sweater already, mom's spaghetti He's nervous, but on the surface he looks calm and ready To drop bombs, but he keeps on forgetting What he wrote down, the whole crowd goes so loud He opens his mouth, but the words won't come out He's choking, how? Everybody's joking now The clock's run out, time's up, over—blaow! Snap back to reality, ope there goes gravity, ope There goes Rabbit, he choked, he's so mad but he won't Give up that easy, no, he won't have it, he knows His whole back's to these ropes, it don't matter, he's dope He knows that but he's broke, he's so stagnant, he knows When he goes back to this mobile home, that's when it's Back to the lab again yo, this old rap shit, he Better go capture this moment and hope it don't pass him, and [Chorus] You better lose yourself in the music The moment, you own it, you better never let it go (Go!) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better lose yourself in the music The moment, you own it, you better never let it go (Go!) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better… [Verse 2] His soul's escaping through this hole that is gaping This world is mine for the taking, make me king As we move toward a New World Order A normal life is boring; but superstardom's Close to post-mortem, it only grows harder Homie grows hotter, he blows, it's all over These hoes is all on him, coast-to-coast shows He's known as the Globetrotter, lonely roads God only knows, he's grown farther from home, he's no father He goes home and barely knows his own daughter But hold your nose, 'cause here goes the cold water These hoes don't want him no mo', he's cold product They moved on to the next schmoe who flows He nose-dove and sold nada, and so the soap opera Is told, it unfolds, I suppose it's old, partner But the beat goes on: da-da-dom, da-dom, dah-dah, dah-dah [Chorus] You better lose yourself in the music The moment, you own it, you better never let it go (Go!) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better lose yourself in the music The moment, you own it, you better never let it go (Go!) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better… [Verse 3] No more games, I'ma change what you call rage Tear this motherfuckin' roof off like two dogs caged I was playin' in the beginning, the mood all changed I've been chewed up and spit out and booed off stage But I kept rhymin' and stepped right in the next cypher Best believe somebody's payin' the Pied Piper All the pain inside amplified by the Fact that I can't get by with my nine-to- Five and I can't provide the right type of life for my family 'Cause man, these goddamn food stamps don't buy diapers And there's no movie, there's no Mekhi Phifer, this is my life And these times are so hard, and it's gettin' even harder Tryna feed and water my seed, plus teeter-totter Caught up between bein' a father and a prima donna Baby mama drama, screamin' on her, too much for me to wanna Stay in one spot, another day of monotony's Gotten me to the point I'm like a snail, I've got To formulate a plot or end up in jail or shot Success is my only motherfuckin' option—failure's not Mom, I love you, but this trailer's got To go; I cannot grow old in Salem's Lot So here I go, it's my shot: feet, fail me not This may be the only opportunity that I got [Chorus] You better lose yourself in the music The moment, you own it, you better never let it go (Go!) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better lose yourself in the music The moment, you own it, you better never let it go (Go!) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better… [Outro] You can do anything you set your mind to, man",en,Hip-Hop,171.374,0.744,-4.565,0.692,0.00868,0.000423,2,0.359,1,0.257,326467,0.0612
2722,ML1212,MoodyLyrics4Q,Sometimes I Rhyme Slow,Nice & Smooth,,,,,,relaxed,positive,"[Verse 1: Nice] Sometimes I rhyme slow sometimes I rhyme quick Sometimes I rhyme slow sometimes I rhyme quick Sometimes I rhyme slow sometimes I rhyme quick I'm sweeter and thicker than a chick-o stick Here's an ice cream cone honey take a lick Or go to Bay Plaza and catch a flick Wore my Timberland boots so I can stomp ticks Scandalous get a whiff of this, miss Just left the yard boys, now I'm blissed I feel good per say good state of mind Drive a red Sterling and the seats recline I love it when a lady treats me kind Go to Tavern on the Green and have a glass of wine He say, she say, I heard it through the grapevine No static, got an automatic Too much of anything makes you an addict Teasin, skeezin, all so pleasin Don't ask why I got my own reasons Smooth B, Greg Nice, Slick Nick clique Sometimes I rhyme slow sometimes I rhyme quick... [Chorus] Sometimes I rhyme slow sometimes I rhyme quick Sometimes I rhyme slow sometimes I rhyme quick Sometimes I rhyme slow sometimes I rhyme quick [Verse 2: Smooth B] Sometimes I rhyme slow Sometimes I rhyme quick I was on 125 and Saint Nick Waiting on a cab, standing in the rain Under my heart three clouds of pain She got the best of me What was her destiny? Maybe I should lick her with my nine millime...ter My mind is in a blur Cause you could never pay me to think this would occur Me and this girl Jane Doe was living together We were inseparable, noone could sever At least that's what I thought But later I fought with her substance And almost ended up in Supreme Court When I was on the road doing shows getting ends She was in my Benz getting sniffy with her friends And even when she crashed my whip I didn't flip My man Slick Nick said Smooth you're starting to slip Time went on I started noticing weight loss Then I had to ask her was she riding the white horse At first she said no, then she said yo Smooth I'm sorry But I keep having visions of snow, I need blow And I said whoa, little hottie I'm not DeLorean, Gambino or Gotti I don't deal coke, and furthermore you're making me broke I'll put you in a rehab and I won't tell your folks And what do you know In 18 months she came home and I let her back in And now she's sniffing again... [Chorus] Sometimes I rhyme slow sometimes I rhyme quick Sometimes I rhyme slow sometimes I rhyme quick Sometimes I rhyme slow sometimes I rhyme quick",en,,108.369,0.563,-14.138,0.797,0.119,0.323,6,0.0969,0,0.123,172267,0.687
3231,ML1721,MoodyLyrics4Q,Terrapin,Syd Barrett,Psychedelic Rock,,,,,relaxed,positive,"I really love you and I mean you The star above you, crystal blue Well, oh baby, my hair's on end about you I wouldn't see you and I love to I fly above you, yes I do Well, oh baby, my hair's on end about you Floating, bumping, noses dodge a tooth, the fins aluminous Fangs all 'round, the clam is dark, below the boulders hiding all The sunlight's good for us 'Cause we're the fishes and all we do The move about is all we do Well, oh baby, my hair's on end about you Floating, bumping, noses dodge a tooth, the fins aluminous Fangs all 'round, the clam is dark, below the boulders hiding all The sunlight's good for us ' Cause we're the fishes and all we do The move about is all we do Well, oh baby, my hair's on end about you I really love you and I mean you The star above you, crystal blue Well, oh baby, my hair's on end about you",en,Rock,83.015,0.119,-17.16,0.45,0.792,0,9,0.108,1,0.0498,302733,0.21
1710,ML200,MoodyLyrics4Q,Bitter Sweet,Sopor Aeternus & The Ensemble Of Shadows,,,,,,sad,negative,"Letra de ""Les Fleurs du Mal - Die Blumen des Bösen""Well this is such a sad affair I´ve opened up my heart so many times But now it´s closed Oh my dear every salted tear It wrings Bitter - sweet applause But when the show´s in full swing Every once in a while High stepping chorus lines Mean i´m forgetting Mein lullaby - liebchen How rich in contrast Love can be Sometimes i´m quite amused To see it twist and turn To taste - both sweet and dry These vintage years! Lovers you consume, my friend As others their wine Nein - das ist nicht Das ende der welt Gestrandet an leben und kunst Und das spiel geht weiter Wie man weiss Noch viele schönste...wiedersehn And now, as you turn to leave You try to force a smile - As if to compensate - Then you break down and cry  Letra de ""Sanatorium Altrosa - Musical Therapy for spiritual Dysfunction""(Instrumental)",en,,113.639,0.73,-7.764,0.432,0.00418,0.0013,0,0.285,1,0.0323,331813,0.18
3228,ML1718,MoodyLyrics4Q,You Alone,Dawn Landes,,,,,,sad,negative,"[Verse] You alone are holy And you alone are beauty But you alone are lonely now When we're alone, you told me You'd tell me the whole sad story But we're never alone now [Chorus] Looks like you let it out For just a moment And I could see how You'd only lay me down On sheets that tore and gave out I'd never known anyone 'till now [Verse] 'Cause you belong in poetry And you belong in fine things But you belong to someone else Yeah, you belong in prairie And you belong in black sea But you belong to no one town [Chorus] You really let it out For just a moment And I could see how You'd only lay me down On sheets that tore and gave out I've never known a love 'till now",en,,154.012,0.119,-11.153,0.441,0.914,0,9,0.0649,1,0.0334,252310,0.192
2639,ML1129,MoodyLyrics4Q,If The Kids Are United,Sham 69,,,,,,angry,negative,"[Intro] Hello mate, alright? Yeah, I'm alright [Verse 1] For once in my life I've got somethin' to say I wanna say it now for now is today Life has been given to grab and enjoy So let's all grab and let's all enjoy [Chorus] If the kids are united! They will never be divided! If the kids are united! They will never be divided! [Verse 2] Just take a look around you, what do you see? Kids with feelings like you and me Understand him and he'll understand you For you are him and he is you [Chorus] If the kids are united! They will never be divided! If the kids are united! They will never be divided! [Chorus] If the kids are united! They will never be divided! If the kids are united! They will never be divided! [Bridge] I don't wanna be rejected I don't wanna be denied And it's not my misfortune That I've opened up your eyes [Verse 3] Freedom is given, speak how you feel I have no freedom, how do you feel? They can lie to my face but not to my heart If we stand together it will just be the start [Chorus] If the kids are united! They will never be divided! If the kids are united! They will never be divided! If the kids are united! They will never be divided! If the kids are united! They will never be divided!",en,,141.652,0.976,-10.368,0.443,0.0326,2.29E-06,2,0.0895,1,0.0645,217307,0.227
